	;Ц
0x8679	0x93cb	;i
0x867a	0x93cd	;k
0x867b	0x93cc	;j
0x867c	0xaf69	;Ш
0x8685	0xb1e5	;
0x8686	0xb1e2	;
0x8687	0xb1e0	;ӿ
0x868a	0x9645	;A
0x868b	0xb1e3	;
0x868c	0x964a	;F
0x868d	0xb1dd	;Ӽ
0x868e	0xb1ec	;
0x8690	0xb1ee	;
0x8691	0xb1de	;ӽ
0x8693	0x9647	;C
0x8694	0xb1ef	;
0x8695	0xb1ea	;
0x8696	0xb1dc	;ӻ
0x8697	0xb1e1	;
0x8698	0xb1eb	;
0x8699	0xb1e7	;
0x869a	0xb1e4	;
0x869c	0x964c	;H
0x869d	0xb1ed	;
0x869e	0xb1df	;Ӿ
0x86a1	0xb1e8	;
0x86a2	0xb1da	;ӹ
0x86a3	0x964b	;G
0x86a4	0x9648	;D
0x86a5	0xb1e6	;
0x86a7	0xb1e9	;
0x86a8	0xb1db	;Ӻ
0x86a9	0x9649	;E
0x86aa	0x9646	;B
0x86af	0x98b0	;L
0x86b0	0xb549	;ץ
0x86b1	0x98af	;K
0x86b3	0xb54c	;ר
0x86b4	0xb54f	;׫
0x86b5	0x98ac	;H
0x86b6	0x98aa	;F
0x86b7	0xb544	;~
0x86b8	0xb54d	;ש
0x86b9	0xb54b	;ק
0x86ba	0xb548	;פ
0x86bb	0xb550	;׬
0x86bc	0xb551	;׭
0x86bd	0xb553	;ׯ
0x86be	0xb554	;װ
0x86bf	0xb543	;}
0x86c0	0x98a9	;E
0x86c1	0xb546	;ע
0x86c2	0xb545	;ס
0x86c3	0xb552	;׮
0x86c4	0x98ab	;G
0x86c5	0xb547	;ף
0x86c6	0x98ad	;I
0x86c7	0x98a8	;D
0x86c8	0xb54a	;צ
0x86c9	0x98b1	;M
0x86cb	0x98ae	;J
0x86cc	0xb54e	;ת
0x86d0	0x9af5	;
0x86d1	0xb8a4	;ۿ
0x86d3	0xb899	;۴
0x86d4	0x9af2	;
0x86d6	0xbc4f	;
0x86d7	0xb8a2	;۽
0x86d8	0xb896	;۱
0x86d9	0x9af0	;
0x86da	0xb89b	;۶
0x86db	0x9af3	;
0x86dc	0xb89f	;ۺ
0x86dd	0xb89d	;۸
0x86de	0x9af6	;
0x86df	0x9aef	;
0x86e2	0xb897	;۲
0x86e3	0xb89a	;۵
0x86e4	0x9af4	;
0x86e6	0xb898	;۳
0x86e8	0xb8a3	;۾
0x86e9	0xb8a1	;ۼ
0x86ea	0xb89c	;۷
0x86eb	0xb89e	;۹
0x86ec	0xb8a0	;ۻ
0x86ed	0x9af1	;
0x86f5	0xbc50	;
0x86f6	0xbc56	;
0x86f7	0xbc4c	;
0x86f8	0xbc52	;
0x86f9	0x9d60	;
0x86fa	0xbc4e	;
0x86fb	0x9d66	;
0x86fe	0x9d65	;
0x8700	0x9d64	;
0x8701	0xbc55	;
0x8702	0x9d67	;
0x8703	0x9d68	;
0x8704	0xbc4b	;
0x8705	0xbc58	;
0x8706	0x9d69	;
0x8707	0x9d63	;
0x8708	0x9d62	;
0x8709	0xbc54	;
0x870a	0x9d6a	;
0x870b	0xbc4a	;
0x870c	0xbc4d	;
0x870d	0xbc57	;
0x870e	0xbc53	;
0x8711	0xbf9d	;
0x8712	0xbf92	;
0x8713	0x9d61	;
0x8718	0x9f92	;j
0x8719	0xbf86	;
0x871a	0xbf9b	;
0x871b	0xbf87	;
0x871c	0x9f8d	;e
0x871e	0xbf84	;
0x8720	0xbf8d	;
0x8721	0xbf85	;
0x8722	0x9f8f	;g
0x8723	0xbf7e	;
0x8724	0xbf9a	;
0x8725	0x9f90	;h
0x8726	0xbf97	;
0x8727	0xbf98	;
0x8728	0xbf80	;
0x8729	0x9f95	;m
0x872a	0xbf8f	;
0x872c	0xbf89	;
0x872d	0xbf90	;
0x872e	0xbf83	;
0x8730	0xbf9c	;
0x8731	0xbf94	;
0x8732	0xbf8e	;
0x8733	0xbf7d	;
0x8734	0x9f91	;i
0x8735	0xbf95	;
0x8737	0x9f94	;l
0x8738	0xbf99	;
0x873a	0xbf93	;
0x873b	0x9f8e	;f
0x873c	0xbf91	;
0x873e	0xbf8b	;
0x873f	0x9f8c	;d
0x8740	0xbf82	;
0x8741	0xbf8a	;
0x8742	0xbf96	;
0x8743	0xbf88	;
0x8746	0xbf8c	;
0x874c	0xa189	;
0x874d	0xbc51	;
0x874e	0xc29b	;
0x874f	0xc2a4	;
0x8750	0xc29a	;
0x8751	0xc296	;
0x8752	0xc293	;
0x8753	0xa18a	;
0x8754	0xc291	;
0x8755	0x9f93	;k
0x8756	0xc28a	;
0x8757	0xa188	;
0x8758	0xc290	;
0x8759	0xa187	;
0x875a	0xc295	;
0x875b	0xc292	;
0x875c	0xc2a2	;
0x875d	0xc29d	;
0x875e	0xc297	;
0x875f	0xc29c	;
0x8760	0xa183	;
0x8761	0xc294	;
0x8762	0xc2a7	;
0x8763	0xc28b	;
0x8764	0xc28c	;
0x8765	0xc2a3	;
0x8766	0xa184	;
0x8767	0xc2a8	;
0x8768	0xa186	;
0x8769	0xc2a9	;
0x876a	0xc299	;
0x876b	0xbf81	;
0x876c	0xc29f	;
0x876d	0xc298	;
0x876e	0xc2a1	;
0x876f	0xc29e	;
0x8773	0xc28f	;
0x8774	0xa181	;
0x8775	0xc2a6	;
0x8776	0xa182	;
0x8777	0xc28d	;
0x8778	0xa185	;
0x8779	0xc5af	;d
0x877a	0xc2a0	;
0x877b	0xc2a5	;
0x8781	0xc5ac	;a
0x8782	0xa180	;
0x8783	0xa349	;
0x8784	0xc5b6	;k
0x8785	0xc5b2	;g
0x8787	0xc5b0	;e
0x8788	0xc5ab	;`
0x8789	0xc5ba	;o
0x878d	0xa34d	;
0x878f	0xc5a7	;\
0x8790	0xc5b3	;h
0x8791	0xc5b4	;i
0x8792	0xc5aa	;_
0x8793	0xc5a9	;^
0x8794	0xc5b7	;l
0x8796	0xc5ad	;b
0x8797	0xc5a8	;]
0x8798	0xc5ae	;c
0x879a	0xc5b9	;n
0x879b	0xc5a6	;[
0x879c	0xc5b8	;m
0x879d	0xc5b5	;j
0x879e	0xa34b	;
0x879f	0xa34a	;
0x87a2	0xa34c	;
0x87a3	0xc5b1	;f
0x87a4	0xca58	;
0x87aa	0xc846	;Y
0x87ab	0xa4b9	;
0x87ac	0xc84a	;]
0x87ad	0xc847	;Z
0x87ae	0xc84e	;a
0x87af	0xc854	;g
0x87b0	0xc849	;\
0x87b2	0xc85d	;p
0x87b3	0xa4b6	;
0x87b4	0xc857	;j
0x87b5	0xc84c	;_
0x87b6	0xc858	;k
0x87b7	0xc853	;f
0x87b8	0xc85a	;m
0x87b9	0xc84b	;^
0x87ba	0xa4bb	;
0x87bb	0xa4ba	;
0x87bc	0xc84d	;`
0x87bd	0xc85b	;n
0x87be	0xc845	;X
0x87bf	0xc859	;l
0x87c0	0xa4b4	;
0x87c2	0xc851	;d
0x87c3	0xc850	;c
0x87c4	0xc855	;h
0x87c5	0xc848	;[
0x87c6	0xa4b8	;
0x87c8	0xa4bc	;
0x87c9	0xc84f	;b
0x87ca	0xc856	;i
0x87cb	0xa4bd	;
0x87cc	0xc852	;e
0x87d1	0xa4b5	;
0x87d2	0xa4b7	;
0x87d3	0xca54	;
0x87d4	0xca52	;
0x87d7	0xca59	;
0x87d8	0xca56	;
0x87d9	0xca5a	;
0x87db	0xca4b	;
0x87dc	0xca53	;
0x87dd	0xca5e	;
0x87de	0xc85c	;o
0x87df	0xca4f	;
0x87e0	0xa5b8	;
0x87e1	0xc28e	;
0x87e2	0xca4a	;
0x87e3	0xca57	;
0x87e4	0xca51	;
0x87e5	0xca4e	;
0x87e6	0xca49	;
0x87e7	0xca48	;
0x87e8	0xca5d	;
0x87ea	0xca4d	;
0x87eb	0xca4c	;
0x87ec	0xa5b6	;
0x87ed	0xca55	;
0x87ef	0xa5b5	;
0x87f2	0xa5b7	;
0x87f3	0xca50	;
0x87f4	0xca5c	;
0x87f6	0xcbea	;
0x87f7	0xcbeb	;
0x87f9	0xa693	;
0x87fa	0xcbe8	;
0x87fb	0xa690	;
0x87fc	0xcbf0	;
0x87fe	0xa694	;
0x87ff	0xcbf2	;
0x8800	0xcbe7	;
0x8801	0xca5b	;
0x8802	0xcbf4	;
0x8803	0xcbe9	;
0x8805	0xa691	;
0x8806	0xcbef	;
0x8808	0xcbf1	;
0x8809	0xcbec	;
0x880a	0xcbf3	;
0x880b	0xcbee	;
0x880c	0xcbed	;
0x880d	0xa692	;
0x8810	0xcd93	;
0x8811	0xcd94	;
0x8813	0xcd96	;
0x8814	0xa758	;Į
0x8815	0xa759	;į
0x8816	0xcd97	;
0x8817	0xcd95	;
0x8819	0xcd92	;
0x881b	0xceb0	;B
0x881c	0xceb3	;E
0x881d	0xceaf	;A
0x881f	0xa7a5	;
0x8820	0xceb1	;C
0x8821	0xa7a4	;
0x8822	0xa7a3	;
0x8823	0xa7a2	;
0x8824	0xceb2	;D
0x8825	0xcfa0	;Q
0x8826	0xcf9e	;O
0x8828	0xcf9d	;N
0x8829	0xceae	;@
0x882a	0xcf9f	;P
0x882b	0xceb4	;F
0x882c	0xcf9c	;M
0x882e	0xd069	;
0x882f	0xd047	;
0x8830	0xd067	;
0x8831	0xa866	;
0x8832	0xd068	;
0x8833	0xd06a	;
0x8835	0xd0cd	;
0x8836	0xa886	;
0x8837	0xd0cc	;
0x8838	0xd0cb	;
0x8839	0xa887	;
0x883b	0xa8a5	;Z
0x883c	0xd17e	;n
0x883d	0xd196	;
0x883e	0xd195	;
0x883f	0xd197	;
0x8840	0x8e86	;
0x8841	0xaf6b	;Ъ
0x8843	0xb1f0	;
0x8844	0xb1f1	;
0x8848	0xb8a5	;
0x884a	0xceb5	;G
0x884b	0xd0ce	;
0x884c	0x8e87	;
0x884d	0x93ce	;l
0x884e	0xaf6c	;Ы
0x8852	0xb555	;ױ
0x8853	0x98b2	;N
0x8855	0xb8a7	;
0x8856	0xb8a6	;
0x8857	0x9af7	;
0x8859	0x9d6b	;
0x885a	0xc2aa	;
0x885b	0xa18b	;
0x885d	0xa18c	;
0x8861	0xa34e	;
0x8862	0xa888	;
0x8863	0x8e88	;
0x8867	0xaf6d	;Ь
0x8868	0x91ce	;
0x8869	0xaf6f	;Ю
0x886a	0xaf6e	;Э
0x886b	0x93cf	;m
0x886d	0xb1f2	;
0x886f	0xb1f9	;
0x8870	0x964d	;I
0x8871	0xb1f7	;
0x8872	0xb1f5	;
0x8874	0xb1fc	;
0x8875	0xb1f3	;
0x8876	0xb1f4	;
0x8877	0x964e	;J
0x8879	0x9652	;N
0x887c	0xb240	;
0x887d	0x9651	;M
0x887e	0xb1fb	;
0x887f	0xb1f8	;
0x8880	0xb1f6	;
0x8881	0x964f	;K
0x8882	0x9650	;L
0x8883	0xb1fa	;
0x8888	0x98b4	;P
0x8889	0xb556	;ײ
0x888b	0x98b9	;U
0x888c	0xb566	;
0x888d	0x98b8	;T
0x888e	0xb568	;
0x8891	0xb55c	;׸
0x8892	0x98b6	;R
0x8893	0xb567	;
0x8895	0xb557	;׳
0x8896	0x98b7	;S
0x8897	0xb563	;׿
0x8898	0xb55f	;׻
0x8899	0xb561	;׽
0x889a	0xb55b	;׷
0x889b	0xb562	;׾
