xb6af	;
0x96c5	0xb6ae	;
0x96c6	0xb6b0	;
0x96c7	0xb6b1	;
0x96c8	0xdca5	;ܥ
0x96c9	0xb96e	;n
0x96ca	0xb96f	;o
0x96cb	0xb96d	;m
0x96cc	0xbbdb	;
0x96cd	0xb96c	;l
0x96ce	0xe0d5	;
0x96d2	0xbbdc	;
0x96d3	0xe8ac	;
0x96d4	0xec50	;P
0x96d5	0xc04a	;J
0x96d6	0xc1f6	;
0x96d7	0xf170	;p
0x96d8	0xf174	;t
0x96d9	0xc2f9	;
0x96da	0xf171	;q
0x96db	0xc2fa	;
0x96dc	0xc2f8	;
0x96dd	0xf175	;u
0x96de	0xc2fb	;
0x96df	0xf173	;s
0x96e1	0xf379	;y
0x96e2	0xc2f7	;
0x96e3	0xc3f8	;
0x96e5	0xf8cd	;
0x96e8	0xab42	;B
0x96e9	0xb3b8	;
0x96ea	0xb3b7	;
0x96ef	0xb6b2	;
0x96f0	0xdca8	;ܨ
0x96f1	0xdca7	;ܧ
0x96f2	0xb6b3	;
0x96f5	0xe0d9	;
0x96f6	0xb973	;s
0x96f7	0xb970	;p
0x96f8	0xe0d8	;
0x96f9	0xb972	;r
0x96fa	0xe0d6	;
0x96fb	0xb971	;q
0x96fd	0xe0d7	;
0x96ff	0xe4bd	;
0x9700	0xbbdd	;
0x9702	0xe8af	;
0x9704	0xbe5d	;]
0x9705	0xe8ad	;
0x9706	0xbe5e	;^
0x9707	0xbe5f	;_
0x9708	0xe8ae	;
0x9709	0xbe60	;`
0x970b	0xec51	;Q
0x970d	0xc04e	;N
0x970e	0xc04b	;K
0x970f	0xc050	;P
0x9710	0xec53	;S
0x9711	0xc04c	;L
0x9712	0xec52	;R
0x9713	0xc04f	;O
0x9716	0xc04d	;M
0x9718	0xeef9	;
0x9719	0xeefb	;
0x971c	0xc1f7	;
0x971d	0xeefa	;
0x971e	0xc1f8	;
0x971f	0xeef8	;
0x9720	0xeef7	;
0x9722	0xf177	;w
0x9723	0xf176	;v
0x9724	0xc2fc	;
0x9725	0xf178	;x
0x9726	0xf37e	;~
0x9727	0xc3fa	;
0x9728	0xf37d	;}
0x9729	0xf37a	;z
0x972a	0xc3f9	;
0x972b	0xf37b	;{
0x972c	0xf37c	;|
0x972e	0xf548	;H
0x972f	0xf549	;I
0x9730	0xc4c5	;
0x9732	0xc553	;S
0x9735	0xf66e	;n
0x9738	0xc551	;Q
0x9739	0xc552	;R
0x973a	0xf66f	;o
0x973d	0xc5b4	;Ŵ
0x973e	0xc5b5	;ŵ
0x973f	0xf771	;q
0x9742	0xc645	;E
0x9743	0xf8cf	;
0x9744	0xc647	;G
0x9746	0xf8ce	;
0x9747	0xf8d0	;
0x9748	0xc646	;F
0x9749	0xf957	;W
0x974b	0xf9ad	;
0x9752	0xab43	;C
0x9756	0xb974	;t
0x9758	0xe4be	;
0x975a	0xe8b0	;
0x975b	0xc051	;Q
0x975c	0xc052	;R
0x975e	0xab44	;D
0x9760	0xbe61	;a
0x9761	0xc3fb	;
0x9762	0xadb1	;
0x9766	0xc053	;S
0x9768	0xc5e2	;
0x9769	0xadb2	;
0x976a	0xd84d	;M
0x976c	0xdca9	;ܩ
0x976e	0xdcab	;ܫ
0x9770	0xdcaa	;ܪ
0x9772	0xe0dd	;
0x9773	0xe0da	;
0x9774	0xb975	;u
0x9776	0xb976	;v
0x9777	0xe0db	;
0x9778	0xe0dc	;
0x977a	0xe4c0	;
0x977b	0xe4c5	;
0x977c	0xbbde	;
0x977d	0xe4bf	;
0x977e	0xe4c1	;
0x977f	0xe4c8	;
0x9780	0xe4c3	;
0x9781	0xe4c7	;
0x9782	0xe4c4	;
0x9783	0xe4c2	;
0x9784	0xe4c6	;
0x9785	0xbbdf	;
0x9788	0xe8b3	;
0x978a	0xe8b1	;
0x978b	0xbe63	;c
0x978d	0xbe62	;b
0x978e	0xe8b2	;
0x978f	0xbe64	;d
0x9794	0xec56	;V
0x9797	0xec55	;U
0x9798	0xc054	;T
0x9799	0xec54	;T
0x979a	0xeefc	;
0x979c	0xeefe	;
0x979d	0xef41	;A
0x979e	0xef40	;@
0x97a0	0xc1f9	;
0x97a1	0xeefd	;
0x97a2	0xf1a1	;
0x97a3	0xc2fd	;
0x97a4	0xf17d	;}
0x97a5	0xf1a2	;
0x97a6	0xc2fe	;
0x97a8	0xf17b	;{
0x97aa	0xf17e	;~
0x97ab	0xf17c	;|
0x97ac	0xf179	;y
0x97ad	0xc340	;@
0x97ae	0xf17a	;z
0x97b3	0xf3a1	;
0x97b6	0xf3a3	;
0x97b7	0xf3a2	;
0x97b9	0xf54a	;J
0x97bb	0xf54b	;K
0x97bf	0xf670	;p
0x97c1	0xc5b7	;ŷ
0x97c3	0xc5b6	;Ŷ
0x97c4	0xf84f	;O
0x97c5	0xf850	;P
0x97c6	0xc648	;H
0x97c7	0xf8d1	;
0x97c9	0xc669	;i
0x97cb	0xadb3	;
0x97cc	0xb6b4	;
0x97cd	0xe4ca	;
0x97ce	0xe4c9	;
0x97cf	0xe8b5	;
0x97d0	0xe8b4	;
0x97d3	0xc1fa	;
0x97d4	0xef43	;C
0x97d5	0xef42	;B
0x97d6	0xf1a5	;
0x97d7	0xf1a3	;
0x97d8	0xf1a6	;
0x97d9	0xf1a4	;
0x97dc	0xc3fc	;
0x97dd	0xf3a4	;
0x97de	0xf3a5	;
0x97df	0xf3a6	;
0x97e1	0xf671	;q
0x97e3	0xf772	;r
0x97e5	0xf8d2	;
0x97ed	0xadb4	;
0x97f0	0xec57	;W
0x97f1	0xef44	;D
0x97f3	0xadb5	;
0x97f6	0xbbe0	;
0x97f8	0xec58	;X
0x97f9	0xc341	;A
0x97fa	0xf1a7	;
0x97fb	0xc3fd	;
0x97fd	0xf54c	;L
0x97fe	0xf54d	;M
0x97ff	0xc554	;T
0x9800	0xf851	;Q
0x9801	0xadb6	;
0x9802	0xb3bb	;
0x9803	0xb3bc	;
0x9804	0xd84e	;N
0x9805	0xb6b5	;
0x9806	0xb6b6	;
0x9807	0xdcac	;ܬ
0x9808	0xb6b7	;
0x980a	0xb97a	;z
0x980c	0xb97c	;|
0x980d	0xe0df	;
0x980e	0xe0e0	;
0x980f	0xe0de	;
0x9810	0xb977	;w
0x9811	0xb978	;x
0x9812	0xb97b	;{
0x9813	0xb979	;y
0x9816	0xe4cb	;
0x9817	0xbbe1	;
0x9818	0xbbe2	;
0x981b	0xe8bc	;
0x981c	0xbe67	;g
0x981d	0xe8b7	;
0x981e	0xe8b6	;
0x9820	0xe8bb	;
0x9821	0xbe65	;e
0x9824	0xc05b	;[
0x9826	0xe8b8	;
0x9827	0xe8bd	;
0x9828	0xe8ba	;
0x9829	0xe8b9	;
0x982b	0xbe66	;f
0x982d	0xc059	;Y
0x982f	0xec5a	;Z
0x9830	0xc055	;U
0x9832	0xec5b	;[
0x9835	0xec59	;Y
0x9837	0xc058	;X
0x9838	0xc056	;V
0x9839	0xc05a	;Z
0x983b	0xc057	;W
0x9841	0xef45	;E
0x9843	0xef4a	;J
0x9844	0xef46	;F
0x9845	0xef49	;I
0x9846	0xc1fb	;
0x9848	0xedd4	;
0x9849	0xef48	;H
0x984a	0xef47	;G
0x984c	0xc344	;D
0x984d	0xc342	;B
0x984e	0xc345	;E
0x984f	0xc343	;C
0x9850	0xf1a8	;
0x9851	0xf1a9	;
0x9852	0xf1aa	;
0x9853	0xc346	;F
0x9857	0xf3aa	;
0x9858	0xc440	;@
0x9859	0xf3a8	;
0x985b	0xc441	;A
0x985c	0xf3a7	;
0x985d	0xf3a9	;
0x985e	0xc3fe	;
0x985f	0xf551	;Q
0x9860	0xf54e	;N
0x9862	0xf54f	;O
0x9863	0xf550	;P
0x9864	0xf672	;r
0x9865	0xc556	;V
0x9867	0xc555	;U
0x9869	0xf774	;t
0x986a	0xf773	;s
0x986b	0xc5b8	;Ÿ
0x986f	0xc5e3	;
0x9870	0xc649	;I
0x9871	0xc660	;`
0x9872	0xf958	;X
0x9873	0xf9ae	;
0x9874	0xf9af	;
0x98a8	0xadb7	;
0x98a9	0xdcad	;ܭ
0x98ac	0xe0e1	;
0x98ad	0xe4cc	;
0x98ae	0xe4cd	;
0x98af	0xbbe3	;
0x98b1	0xbbe4	;
0x98b2	0xe8be	;
0x98b3	0xbe68	;h
0x98b6	0xc1fc	;
0x98b8	0xf1ab	;
0x98ba	0xc347	;G
0x98bb	0xf3ad	;
0x98bc	0xc442	;B
0x98bd	0xf3ac	;
0x98be	0xf3ae	;
0x98bf	0xf3ab	;
0x98c0	0xf675	;u
0x98c1	0xf552	;R
0x98c2	0xf553	;S
0x98c4	0xc4c6	;
0x98c6	0xf674	;t
0x98c9	0xf673	;s
0x98cb	0xf775	;u
0x98cc	0xf9b0	;
0x98db	0xadb8	;
0x98df	0xadb9	;
0x98e2	0xb0a7	;
0x98e3	0xd448	;H
0x98e5	0xd84f	;O
0x98e7	0xb6b8	;
0x98e9	0xb6bb	;
0x98ea	0xb6b9	;
0x98eb	0xdcae	;ܮ
0x98ed	0xb6bd	;
0x98ef	0xb6ba	;
0x98f2	0xb6bc	;
0x98f4	0xb97e	;~
0x98f6	0xe0e2	;
0x98f9	0xe0e3	;
0x98fa	0xe8c0	;
0x98fc	0xb97d	;}
0x98fd	0xb9a1	;
0x98fe	0xb9a2	;
0x9900	0xe4cf	;
0x9902	0xe4ce	;
0x9903	0xbbe5	;
0x9905	0xbbe6	;
0x9907	0xe4d0	;
0x9908	0xe8bf	;
0x9909	0xbbe8	;
0x990a	0xbe69	;i
0x990c	0xbbe7	;
0x9910	0xc05c	;\
0x9911	0xe8c1	;
0x9912	0xbe6b	;k
0x9913	0xbe6a	;j
0x9914	0xe8c2	;
0x9915	0xe8c5	;
0x9916	0xe8c3	;
0x9917	0xe8c4	;
0x9918	0xbe6c	;l
0x991a	0xc061	;a
0x991b	0xc05f	;_
0x991e	0xc05e	;^
0x991f	0xec5d	;]
0x9921	0xc060	;`
0x9924	0xec5c	;\
0x9925	0xef4b	;K
0x9927	0xec5e	;^
0x9928	0xc05d	;]
0x9929	0xec5f	;_
0x992a	0xef4e	;N
0x992b	0xef4c	;L
0x992c	0xef4d	;M
0x992d	0xef52	;R
0x992e	0xc34b	;K
0x992f	0xef51	;Q
0x9930	0xef54	;T
0x9931	0xef53	;S
0x9932	0xef50	;P
0x9933	0xef4f	;O
0x9935	0xc1fd	;
0x993a	0xf1ae	;
0x993c	0xf1ad	;
0x993d	0xc34a	;J
0x993e	0xc348	;H
0x993f	0xc349	;I
0x9941	0xf1ac	;
0x9943	0xf3b1	;
0x9945	0xc443	;C
0x9947	0xf3b0	;
0x9948	0xf3af	;
0x9949	0xc444	;D
0x994b	0xf558	;X
0x994c	0xf557	;W
0x994e	0xf555	;U
0x9950	0xf554	;T
0x9951	0xc4c8	;
0x9952	0xc4c7	;
0x9953	0xf559	;Y
0x9954	0xf776	;v
0x9955	0xc5b9	;Ź
0x9956	0xf677	;w
0x9957	0xc557	;W
0x9958	0xf676	;v
0x9959	0xf556	;V
0x995b	0xf777	;w
0x995c	0xc5e4	;
0x995e	0xc661	;a
0x995f	0xf959	;Y
0x9961	0xf9b1	;
0x9996	0xadba	;
0x9997	0xd850	;P
0x9998	0xef55	;U
0x9999	0xadbb	;
0x999c	0xe4d2	;
0x999d	0xe4d1	;
0x999e	0xec60	;`
0x99a1	0xef57	;W
0x99a3	0xef56	;V
0x99a5	0xc34c	;L
0x99a6	0xf3b2	;
0x99a7	0xf3b3	;
0x99a8	0xc4c9	;
0x99ab	0xf9b2	;
0x99ac	0xb0a8	;
0x99ad	0xb6bf	;
0x99ae	0xb6be	;
0x99af	0xe0e4	;
0x99b0	0xe0e6	;
0x99b1	0xb9a4	;
0x99b2	0xe0e5	;
0x99b3	0xb9a3	;
0x99b4	0xb9a5	;
0x99b5	0xe0e7	;
0x99b9	0xe4d4	;
0x99ba	0xe4d6	;
0x99bb	0xe4d5	;
0x99bd	0xe4d8	;
0x99c1	0xbbe9	;
0x99c2	0xe4d7	;
0x99c3	0xe4d3	;
0x99c7	0xe4d9	;
0x99c9	0xe8cc	;
0x99cb	0xe8cf	;
0x99cc	0xe8d1	;
0x99cd	0xe8c7	;
0x99ce	0xe8cb	;
0x99cf	0xe8c8	;
0x99d0	0xbe6e	;n
0x99d1	0xbe71	;q
0x99d2	0xbe73	;s
0x99d3	0xe8c9	;
0x99d4	0xe8ca	;
0x99d5	0xbe72	;r
0x99d6	0xe8cd	;
0x99d7	0xe8d0	;
0x99d8	0xe8ce	;
0x99d9	0xbe74	;t
0x99db	0xbe70	;p
0x99dc	0xe8c6	;
0x99dd	0xbe6d	;m
0x99df	0xbe6f	;o
0x99e2	0xc063	;c
0x99e3	0xec66	;f
0x99e4	0xec64	;d
0x99e5	0xec63	;c
0x99e7	0xec69	;i
0x99e9	0xec68	;h
0x99ea	0xec67	;g
0x99ec	0xec62	;b
0x99ed	0xc062	;b
0x99ee	0xec61	;a
0x99f0	0xec65	;e
0x99f1	0xc064	;d
0x99f4	0xef5a	;Z
0x99f6	0xef5e	;^
0x99f7	0xef5b	;[
0x99f8	0xef5d	;]
0x99f9	0xef5c	;\
0x99fa	0xef59	;Y
0x99fb	0xef5f	;_
0x99fc	0xef62	;b
0x99fd	0xef60	;`
0x99fe	0xef61	;a
0x99ff	0xc240	;@
0x9a01	0xc1fe	;
0x9a02	0xef58	;X
0x9a03	0xef63	;c
0x9a04	0xf1b3	;
0x9a05	0xf1b6	;
0x9a06	0xf1b8	;
0x9a07	0xf1b7	;
0x9a09	0xf1b1	;
0x9a0a	0xf1b5	;
0x9a0b	0xf1b0	;
0x9a0d	0xf1b2	;
