0x587b	;
0x75c7	0x6247	;
0x75cd	0x5f8c	;
0x75d2	0x5cda	;
0x75d4	0x645e	;
0x75d5	0x67a5	;
0x75d8	0x54b0	;
0x75d9	0x5161	;
0x75db	0x64cc	;
0x75e2	0x5654	;
0x75f0	0x53f6	;
0x75f2	0x5675	;
0x75f4	0x645f	;
0x75fa	0x5958	;
0x75fc	0x519b	;
0x7600	0x69fa	;
0x760d	0x5cdb	;
0x7619	0x69c3	;
0x761f	0x5dcd	;
0x7620	0x6348	;
0x7621	0x62e4	;
0x7622	0x6988	;
0x7624	0x55e8	;
0x7626	0x5b70	;
0x763b	0x695e	;
0x7642	0x55ce	;
0x764c	0x5c8e	;
0x764e	0x5071	;
0x7652	0x5ef0	;
0x7656	0x585c	;
0x7661	0x6460	;
0x7664	0x6b65	;
0x7669	0x54cb	;
0x766c	0x5a93	;
0x7670	0x5dd5	;
0x7672	0x60b7	;
0x7678	0x517f	;
0x767b	0x54c2	;
0x767c	0x57c0	;
0x767d	0x57f9	;
0x767e	0x57fa	;
0x7684	0x6093	;
0x7686	0x50b9	;
0x7687	0x674b	;
0x768e	0x5261	;
0x7690	0x519c	;
0x7693	0x66ad	;
0x76ae	0x659b	;
0x76ba	0x63d0	;
0x76bf	0x56d7	;
0x76c2	0x5e80	;
0x76c3	0x57ea	;
0x76c6	0x58ec	;
0x76c8	0x5d96	;
0x76ca	0x5f96	;
0x76d2	0x65d9	;
0x76d6	0x50ba	;
0x76db	0x5ac1	;
0x76dc	0x5475	;
0x76de	0x5fea	;
0x76df	0x56be	;
0x76e1	0x627e	;
0x76e3	0x5091	;
0x76e4	0x57b2	;
0x76e7	0x55a3	;
0x76ee	0x56f7	;
0x76f2	0x56bf	;
0x76f4	0x626d	;
0x76f8	0x59f4	;
0x76fc	0x6989	;
0x76fe	0x5ba1	;
0x7701	0x5ac2	;
0x7704	0x56c8	;
0x7708	0x6bb4	;
0x7709	0x5779	;
0x770b	0x5072	;
0x771e	0x627f	;
0x7720	0x56c9	;
0x7729	0x6664	;
0x7737	0x52c5	;
0x7738	0x56eb	;
0x773a	0x617f	;
0x773c	0x5c7e	;
0x7740	0x62b1	;
0x774d	0x6bd2	;
0x775b	0x60f6	;
0x7761	0x5b71	;
0x7763	0x548a	;
0x7766	0x56f8	;
0x776b	0x6378	;
0x7779	0x5476	;
0x777e	0x51a0	;
0x777f	0x5da2	;
0x778b	0x6280	;
0x7791	0x6975	;
0x779e	0x568a	;
0x77a5	0x586e	;
0x77ac	0x5ba2	;
0x77ad	0x55cf	;
0x77b0	0x684b	;
0x77b3	0x54a8	;
0x77bb	0x636f	;
0x77bc	0x50e3	;
0x77bf	0x5294	;
0x77d7	0x63b1	;
0x77db	0x56ec	;
0x77dc	0x5356	;
0x77e2	0x5bda	;
0x77e3	0x5f70	;
0x77e5	0x625e	;
0x77e9	0x5295	;
0x77ed	0x53e0	;
0x77ee	0x5df8	;
0x77ef	0x5262	;
0x77f3	0x5a7d	;
0x7802	0x59af	;
0x7812	0x595a	;
0x7825	0x625f	;
0x7826	0x62ee	;
0x7827	0x6479	;
0x782c	0x566e	;
0x7832	0x6573	;
0x7834	0x64e7	;
0x7845	0x52d9	;
0x784f	0x5d67	;
0x785d	0x639d	;
0x786b	0x55e9	;
0x786c	0x5162	;
0x786f	0x5d68	;
0x787c	0x58fd	;
0x7881	0x537c	;
0x7887	0x60f7	;
0x788c	0x55b0	;
0x788d	0x5ca7	;
0x788e	0x5b4e	;
0x7891	0x595b	;
0x7897	0x5de8	;
0x78a3	0x507f	;
0x78a7	0x585d	;
0x78a9	0x5a7e	;
0x78ba	0x66e3	;
0x78bb	0x66e4	;
0x78bc	0x696c	;
0x78c1	0x5fcc	;
0x78c5	0x698e	;
0x78ca	0x55c1	;
0x78cb	0x62aa	;
0x78ce	0x5180	;
0x78d0	0x698a	;
0x78e8	0x5676	;
0x78ec	0x5163	;
0x78ef	0x537d	;
0x78f5	0x6848	;
0x78fb	0x57b3	;
0x7901	0x639e	;
0x790e	0x639f	;
0x7916	0x6a47	;
0x792a	0x555b	;
0x792b	0x556c	;
0x792c	0x57b4	;
0x793a	0x5bdb	;
0x793e	0x59ac	;
0x7940	0x59ab	;
0x7941	0x6897	;
0x7947	0x537e	;
0x7948	0x537f	;
0x7949	0x6261	;
0x7950	0x5e81	;
0x7956	0x6180	;
0x7957	0x6260	;
0x795a	0x6181	;
0x795b	0x6859	;
0x795c	0x66af	;
0x795d	0x63e3	;
0x795e	0x5bfd	;
0x7960	0x59ad	;
0x7965	0x59fb	;
0x7968	0x658c	;
0x796d	0x6159	;
0x797a	0x5380	;
0x797f	0x6958	;
0x7981	0x5345	;
0x798d	0x66d7	;
0x798e	0x60f8	;
0x798f	0x5897	;
0x7991	0x5e82	;
0x79a6	0x5ce8	;
0x79a7	0x67be	;
0x79aa	0x5a8f	;
0x79ae	0x559a	;
0x79b1	0x5477	;
0x79b3	0x69f5	;
0x79b9	0x5e83	;
0x79bd	0x5346	;
0x79be	0x66d9	;
0x79bf	0x548b	;
0x79c0	0x5b73	;
0x79c1	0x59b0	;
0x79c9	0x587d	;
0x79ca	0x53b7	;
0x79cb	0x63d1	;
0x79d1	0x51d6	;
0x79d2	0x63a0	;
0x79d5	0x69a7	;
0x79d8	0x595c	;
0x79df	0x6182	;
0x79e4	0x647d	;
0x79e6	0x6281	;
0x79e7	0x5c9c	;
0x79e9	0x6292	;
0x79fb	0x5f8d	;
0x7a00	0x67bf	;
0x7a05	0x5acd	;
0x7a08	0x5073	;
0x7a0b	0x60f9	;
0x7a0d	0x63a1	;
0x7a14	0x5fb4	;
0x7a17	0x64fe	;
0x7a19	0x626e	;
0x7a1a	0x6462	;
0x7a1c	0x5642	;
0x7a1f	0x6592	;
0x7a20	0x6183	;
0x7a2e	0x61ab	;
0x7a31	0x647e	;
0x7a36	0x5e90	;
0x7a37	0x626f	;
0x7a3b	0x5478	;
0x7a3c	0x5050	;
0x7a3d	0x5182	;
0x7a3f	0x519f	;
0x7a40	0x51b4	;
0x7a46	0x56f9	;
0x7a49	0x6bab	;
0x7a4d	0x6094	;
0x7a4e	0x6a7c	;
0x7a57	0x5b74	;
0x7a61	0x5a4b	;
0x7a62	0x6a88	;
0x7a69	0x5dce	;
0x7a6b	0x66e5	;
0x7a70	0x5cd9	;
0x7a74	0x666f	;
0x7a76	0x5296	;
0x7a79	0x52bb	;
0x7a7a	0x51d0	;
0x7a7d	0x60fa	;
0x7a7f	0x6357	;
0x7a81	0x5499	;
0x7a84	0x62b2	;
0x7a88	0x5e4e	;
0x7a92	0x628c	;
0x7a93	0x62e5	;
0x7a95	0x6184	;
0x7a98	0x52b0	;
0x7a9f	0x52b8	;
0x7aa9	0x5ddd	;
0x7aaa	0x6a97	;
0x7aae	0x52bc	;
0x7aaf	0x5e4f	;
0x7aba	0x52da	;
0x7ac4	0x62bb	;
0x7ac5	0x688c	;
0x7ac7	0x54b1	;
0x7aca	0x60cd	;
0x7acb	0x566f	;
0x7ad7	0x697b	;
0x7ad9	0x62d1	;
0x7add	0x587c	;
0x7adf	0x5164	;
0x7ae0	0x604e	;
0x7ae3	0x61ee	;
0x7ae5	0x54a6	;
0x7aea	0x5b75	;
0x7aed	0x5080	;
0x7aef	0x53e1	;
0x7af6	0x5165	;
0x7af9	0x61e1	;
0x7afa	0x63e5	;
0x7aff	0x5074	;
0x7b0f	0x66c8	;
0x7b11	0x5ae7	;
0x7b19	0x5a52	;
0x7b1b	0x6095	;
0x7b1e	0x64b8	;
0x7b20	0x5670	;
0x7b26	0x58ca	;
0x7b2c	0x615a	;
0x7b2d	0x6952	;
0x7b39	0x5ace	;
0x7b46	0x65a5	;
0x7b49	0x54c3	;
0x7b4b	0x52f7	;
0x7b4c	0x6b63	;
0x7b4d	0x5ba3	;
0x7b4f	0x5849	;
0x7b50	0x5242	;
0x7b51	0x63e6	;
0x7b52	0x64cd	;
0x7b54	0x53fd	;
0x7b56	0x62f6	;
0x7b60	0x52e2	;
0x7b6c	0x5ac3	;
0x7b6e	0x69b5	;
0x7b75	0x5d69	;
0x7b7d	0x6a92	;
