3B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x743C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x743D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x743E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x743F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7440 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7441 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7442 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7443 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7444 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7445 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7446 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7447 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7448 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7449 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x744F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7450 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7451 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7452 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7453 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7454 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7455 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7456 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7457 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7458 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7459 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x745F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7460 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7461 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7462 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7463 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7464 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7465 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7466 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7467 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7468 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7469 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x746F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7470 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7471 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7472 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7473 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7474 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7475 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7476 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7477 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7478 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7479 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x747F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7480 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7481 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7482 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7483 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7484 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7485 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7486 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7487 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7488 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7489 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x748F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7490 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7491 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7492 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7493 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7494 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7495 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7496 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7497 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7498 0x0300 0x0001 0x8100    ; CJK Ideograph
0x7499 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749A 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749B 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749C 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749D 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749E 0x0300 0x0001 0x8100    ; CJK Ideograph
0x749F 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74A9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74AF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74B9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74BF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C1 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C2 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C3 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C4 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C5 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C6 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C7 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C8 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74C9 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CA 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CB 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CC 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CD 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CE 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74CF 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74D0 0x0300 0x0001 0x8100    ; CJK Ideograph
0x74D1 0x0300 0x0001 0x8100    ; CJK Ideograph
