90605629,0, 6744447939263744559,7016780940E555F90A8629F24FFD9E6051386F4D
00026,790605630,0,-3506070546982233048,6C8F7C43A350443700FFC1E5094C229BFDE6334F
00026,790605631,0, 2952633011290907102,117F986BA8C8CD5F634C44B4FFB5C8C8A0EA4B2F
00026,790605632,0,-4326134714814528039,DCB71854CDB67A7D8549A05A0FAD1A884D8B4408
00026,790605633,0, 0922005948242954016,D9F4A6157033B3F71FB4C81B34B8FECB35468CAF
00026,790605634,0,-4332463698784882250,62747CBF2013159549CBBF4001EA203242525519
00026,790605635,0, 0019492730583641539,43AD22C18663A593646A89EFB0F596563F497942
00026,790605636,0, 3605677930205833824,9437A8ECEED5466945F932BE3607535785AA1971
00026,790605637,0,-4570697033293653259,02064C2C0110AFC6C8FB6B13FC08EF0E1CCE588A
00026,790605638,0, 2999454893242160012,A6C61B84AEE811AAB5967BDE120D61293773DD3C
00026,790605639,0, 4704770686938754724,B1CC438BD349CFF469A2A0903D710123CFB9FE0F
00026,790605640,0,-0525117371809581736,0B55E0491469868EC8856B2FEF9501BBEA206458
00026,790605641,0, 5904637701923171821,B220DFAC846C3B756BB74083813E8FE4C306DBBF
00026,790605642,0, 0074984341442067455,6B844C82348451A44E8FE96494306A42146B151A
00026,790605643,0, 8250830908453818974,D0AAAA47B7D2F724C17165D67D55F6D309420ADC
00026,790605644,0,-5568270222562158768,C2E62A1C2AB6C641615BCFD37538BC222443C7EA
00026,790605645,0, 2575112200652911288,C26432CEC39266E1B576661B043B0B0A83B122C8
00026,790605646,0,-3650838999422490786,CA7A791F6D959B85C31DAE69A81C60AAF2E2AF31
00026,790605647,0, 6897092347550020085,D75CA6BA1C452FDBE31A685877F90CD7E8AA06C0
00026,790605648,0,-4503922253134564751,AEF04C79F80BEE28519D0CDC551D4D267B16FFCD
00026,790605649,0, 0279539545299080099,45B16914452A5DBB9B19E107A5127F4D843A79C4
00026,790605650,0, 2419909627545420940,8F281EA56346DD1C6308B98C63417248432B24B2
00026,790605651,0, 3580289943470209542,7088D78F42516E7352E75A44ABAB147BEB9F14F9
00026,790605652,0,-3615267885066645565,01A8B30FA826E818A14BE7757F9D051C0B81BB9C
00026,790605653,0, 3163809769110254305,55C9EFF915C2892472722D15E66A7B03F7E62935
00026,790605654,0, 4479854564156535582,75E919CB7AB78B63681E54B8A62F99F681AED3A9
00026,790605655,0,-6474432323070190786,BE17D013C46D608E79C089C8B55BE1C1953AD211
00026,790605656,0, 1473448814743580747,B0C4AE62DF667C8945A32245082A8F8A1FD975AA
00026,790605657,0,-8799195634897658784,7D2AB2404746DEAF1A0ACD15D3FE9244CBAAA8DD
00026,790605658,0, 8726076031737785965,B54D938F32AD5B69F66C857DDAD8DD4C90424741
00026,790605659,0, 6309747844845908994,38B1F1AE6FAB80A54003832FF968AF3E8B143635
00026,790605660,0, 5373281930681576929,80062A61FAC317CF319180986CE1C3026AC5F1AB
00026,790605661,0, 8007269532214241342,1D36414B3B8B27D49C464AAF0B2D7E9873190E8A
00026,790605662,0, 4586322201390985499,6FB155FCDAF526DCF8A249F1177F6607477B8E11
00026,790605663,0,-1398836853726515203,E2B9AC736EDFF7563AE014D3515CB717B9C96E16
00026,790605664,0, 0249876264584455529,E156F482D792AB16444CE5A22970DFB72F7A1FE2
00026,790605665,0, 1004321550484767834,9974B27676D84E23900AA467A8367D2BCD3C5548
00026,790605666,0,-6042729629641112218,0D4BE6C738EA93E39A777D6E9D282EC8061575D3
00026,790605667,0,-2772631934851892349,462A6AADCF60A5D62D8829E5B17211B5F76C75E6
00026,790605668,0,-7540537878107574566,A8B3EBEC0EF77E155CB32F0A8CC1491B940A619B
00026,790605669,0, 4224080717082917442,15F6BC995A9C44DB8459464E978FD6A52872E14D
00026,790605670,0,-8944627213772057815,5C16245FE54A932ECB02A9C5DCDD22D206EFC3E6
00026,790605671,0, 3381491070482003984,3B7344E0DE93605A3CE7EF69CEE8503219F0F5C8
00026,790605672,0, 2846200570436206981,79A81DFFD9DDCD18D8E8636FA7C5CF7791A09FBB
00026,790605673,0,-3000708165751399812,3F51CB26895DF1F6F663644CE0F82E31191C989A
00026,790605674,0,-5988489328373505951,B2BA6196C59A34E45C55AB636EC007F399E4A742
00026,790605675,0, 6215235862025535463,3BAB5AA0A07001E49B4009395037A291168AC651
00026,790605676,0, 4081904680246482008,225F852F7E1D60BC07DAA6A7412A0D67BA85FCEE
00026,790605677,0,-4213435324819733179,B3F04ED053B77D3131CB82FDE04BDA5722DC9517
00026,790605678,0,-0663530897648493863,AF502615F5D6AE749175BC3C32CF213089073977
00026,790605679,0, 0405815065290083736,108F406604A1ADF8ADD26D04AE002D3846A36F9E
00026,790605680,0,-2974559575827751073,ECD0E813FA4D0872729F1546B8255F3E6E77058E
00026,790605681,0, 8338866494680225172,4D4087F15793D1ED3856D3207FDE8EDFFDB0109B
00026,790605682,0, 2212167467432045030,79EE94E3B72CF5C3C8C9F8182EE2461C3FC38EB0
00026,790605683,0,-7622113720257715774,EC95839A13BB44D1F93415A2DEEA6B3FD75952E8
00026,790605684,0, 2430143783825685094,B378ADB7F3EFD172213DE344EC149484F57363AC
00026,790605685,0, 1925567378607082110,3927C920F526500DA65F0D346E7077BCB8B5299B
00026,790605686,0, 7859503756626223902,14BBE03DB85F32A4E1665E1B69A5F750577BEF20
00026,790605687,0, 3228537987463582072,602ABF6174D70C68BDA125BB1D44157066575FAD
