510626,0, 5139437773928070602,2BC3739B4A6DAAE962DBA195CE0AADF84F6EAE25
00026,790510627,0, 3803227477229405630,0C8BAEFB5DC3DD258ECA0BB7726505274BF4104C
00026,790510628,0, 5757924477825545918,92E809A2989A89B80119A6F1624BACDCFC78A1B6
00026,790510629,0, 8465128433328170762,020DE019A93483A3030AFA39C5C169BC91245747
00026,790510630,0, 8140911872824580563,49D9BD3B02DC12A019299584A4D604F0F5CD7FA0
00026,790510631,0, 0668288882392933346,EB5A25D8D9BF18C453F3C1E0DCBCBC67BDB6C588
00026,790510632,0, 5091666811098737619,37D154FC13758906490AABE63F23131E57C992A9
00026,790510633,0, 1760246757957655068,9C976E42FFDBC50472D8DCFD76FFC41D3093C8B0
00026,790510634,0, 0677759297206893863,3DB036D2293D3A24B8E349D5A00DA98F933F4CC2
00026,790510635,0, 0627836723657163049,82EE46A4B2719B3054CEDA6D8CF5A289A2EC4887
00026,790510636,0,-3491080699052534948,EB297A1BE5AE5062500A18AC6576463DB93D48A1
00026,790510637,0, 3568424574771560117,F5EF91969CCA748047496F43742418731362158F
00026,790510638,0, 4951840871081153988,998B675E895AD01835EAE2E2E28E6972149F33C3
00026,790510639,0, 2874895836565565705,BD92816C43A5478A500AB7E55BC51F6E2F10F2B8
00026,790510640,0,-2881354220245512828,E2B6DAC2BEE8CA908291A498EF71F095D808C77E
00026,790510641,0, 1332101425817184788,8CA2AB5D7748AA380235301FAAA8952F192C8A76
00026,790510642,0,-3222662202609572264,F96D0929E95658FD6EE6E51F37A21696C9399822
00026,790510643,0,-0511270888841531665,8FAD1BC351578A6A40DB41757B403C4481515B3B
00026,790510644,0, 2571455126204312609,AEFAC38CD392D21451420E655B08372DA5F1D2C9
00026,790510645,0,-0296881741409217309,9FE10D3E5C91659F783AC59B167DF58E6E6B5BF3
00026,790510646,0, 6615645082070143293,D21658197643F36FC8ABDB1B8419932B2BEB0880
00026,790510647,0,-2473733643558185002,D611106EF727C30DB20DBB3C0A25B14FEABE05B8
00026,790510648,0, 5281309039289049845,D6398807037D13CB8662E0468D80690644263DDD
00026,790510649,0, 8330033943409672595,49CB44DCB2258CBCB2C6EC1B79F8BCEE2B153269
00026,790510650,0, 9181385823998176718,A230562E527C4CDEDA7FD07B44215E86D8278327
00026,790510651,0, 5226531706482166703,BF4AC79BE56D77F3C29BD2A90C8F9077D8838231
00026,790510652,0,-2918477394597180478,7654C9368C65FF1AE10B878DD38546F0CFD5A856
00026,790510653,0,-8399116644783479425,5BF42F5D119AB1C16A31CA660D16314A3A4B7F38
00026,790510654,0, 1275900386816635983,14CD48298E020C48B2AAFFB1387B785B1DE4141D
00026,790510655,0, 1149261285449880268,57C0B042890B4CBCFB30C8E29579C23FAA24C4F0
00026,790510656,0,-2624400100470275030,F99E5C5261C8DD6ED087149573CB89576A87D3EA
00026,790510657,0, 0779230879286971574,EAF415490E8A0D9D53B5BD78E1AAEFB3D77A05C8
00026,790510658,0,-4862038418965570056,385B871FB9DB95E521A62514A6997884E7267846
00026,790510659,0, 3730378989392450092,2B6D8C229B84413E67644AA0C9BA41A3B87C66B1
00026,790510660,0, 3660338992337990485,039AF19C2E8ED03F14589E9075D94845980419F5
00026,790510661,0,-1877298397142910854,690D8A43D0A9456FD23983BC972252A1AA9B8A57
00026,790510662,0,-0491746779060548752,F99D588BCD36D6EE3F65187035DBF5B9ADFB03C2
00026,790510663,0,-1302307147565817805,177F2159CFCF2F8A8CA54FDA4AC37D2ADEC28922
