790519959,0, 4239707704278209616,E64641AE9552B48C13191AFF0EFE026107959DF5
00026,790519960,0, 8352605173247722063,1E4904306F3FD68D957D1EEC510FA3D3E2C83A6F
00026,790519961,0,-0530710967318049086,C2D1EA3A7D0F5C27B4CCB5F3E7EA9D81FB64A190
00026,790519962,0,-7059840646099598333,EBE9DE16AFA61C164BE68DA4AFEFD0C1B3F824F4
00026,790519963,0, 5720161466107420839,FCFA37D5CBAC45B8AF0AFB61E8B7714058794EA1
00026,790519964,0, 4725295533808877279,C4EE081229EE530AB0E6437BAEB2A09B628A48DA
00026,790519965,0,-8865778073070041532,BC561F13D17D9A2DDEA6FECA3C026E7EF1A9BA20
00026,790519966,0, 0736324801681465366,6D4218C78C912060B79A69C5FFA02D921B19DBA9
00026,790519967,0, 7238458705838269856,A139E365DA9E4652733C6EC40CB1A9AB7603800E
00026,790519968,0,-5286271775668849516,235220F00BA5ACA5535EB174CD16CFDA5DD89C4C
00026,790519969,0, 8813996352699643400,120C3D9D2FE1EC3E96E185755EB7B6B5EF55B532
00026,790519970,0, 8433167071905874445,632A04D99286173120BC14B464D25168F455B090
00026,790519971,0,-2697939981702613719,DD38BA99CE6E0E941C3E9C093DFE493C377A6029
00026,790519972,0, 4232768827335223568,963C1787B386818A30B9CBAF2A71B21E910C5B96
00026,790519973,0, 3129390633229570222,3E4F2B7C583102EE053BFAE5B9B7A287416E713C
00026,790519974,0, 4951988800286647028,43719D1F74AACAD21EC2E4F5D464ABCA8EC9941C
00026,790519975,0, 2567415282037401446,551A7B53976E93A357C7EAD65451D20625C30166
00026,790519976,0,-5424929830854479888,AF52CA0CB3915EF9A130BF6CC1C7570A0D364B85
00026,790519977,0, 3786411167086727145,187F0BD67BDB7600D384C3A5E51C19531A7D2F6B
00026,790519978,0, 5952973925485657304,3DCA3BCDB68A598A70150096ED4C3B86D7D5B7D2
00026,790519979,0, 0117928338647278391,ADC34F527AA27726EC43D5A7A6B195CBEA7B030B
00026,790519980,0, 8501514065390275061,1D85BCB85A08D12A7A84559DCB5BAE0F93F122AA
00026,790519981,0, 6583436788116228840,ED8CA503BDF9D18C303D9FFEB6D2982510D0214F
00026,790519982,0, 5963943459750930754,8E286A505D91CAF75B4AD7EC34FADE5F7610B623
00026,790519983,0, 7236727354220604642,248148C8F5E0F852FCE869695E7CF42A71B68A8A
00026,790519984,0, 7740618496114073445,8278B6C4EED76B71D35C7A97A7B321B3A05EA486
00026,790519985,0,-1164017457662685057,3F192D99552C0C90468D92080B61CE2AF1E69E61
00026,790519986,0,-7010550306470119878,57074599F0F204FA1788FF7C3196AC14A193113C
00026,790519987,0,-6552744682689617795,0018E0B8800C5BB8D3193E40B693D3F4364E9B5A
00026,790519988,0, 0350038672010079270,5FAA05F13CC6418C2F52337D4214A8CA2730D2EF
00026,790519989,0, 3539830426431394671,00BE2604E816AD933CEB55CC968F9531F9642B0D
00026,790519990,0, 0130219021202509075,0FEF62A0BC1747E4BDCBCB650C47E904B252F991
00026,790519991,0, 9085216880213468497,59E996BE6A3B367E0F4F690E6DDD0DC3049E0E98
00026,790519992,0,-8188166428305864763,0D9A9E1ED826793CCBCFDB7808CD1B755264461C
00026,790519993,0,-9168556107773605491,9BE10936773385134EE1264C97608D3758879B00
00026,790519994,0,-8507463639135432850,23B20286DC78D8466B1656CF68FEFCD0B555F81F
00026,790519995,0, 5269517796710132681,9109FB5CE4FAED3E3A478B5C1B7E6BC283008381
00026,790519996,0, 5399283311063516051,925286BAA9211761E29B3C55D6619B05A1F2E2D6
