4961,0, 3718473612437144212,3D4001EA58EBEE7A12570D60C24135970D83AE4D
00026,790954962,0, 8469208942004268293,1962FF01F1670805AAE680D706B7DAF95C2263C2
00026,790954963,0,-0418475317325854725,77145B428AF05B3FC132A5D1AE3CEF2FE156F98E
00026,790954964,0,-1863615476692619112,EC1595CA4247D02E0B4015895531ABC2F6A24920
00026,790954965,0,-1717171980257571613,652E37777C0AE810FF4E41C6A1354959BD2E5039
00026,790954966,0, 5266801063362917496,7F857F3E78D60496766F6D4AC6F6052F365EC2BD
00026,790954967,0,-5096857475738065020,B3C606F3895553BCF105CFB8844847BF97675981
00026,790954968,0, 8002476058285746013,A5C6923FCFB63A9F590A3C5EC8562F8A97073B49
00026,790954969,0, 4275200647749300619,C7C4B4E464C02E1FBEEF75B84D88970CB5374200
00026,790954970,0,-6630790862340991474,849BBDDD3674C33E0893AA0000AEDD33FF31D12E
00026,790954971,0,-7396318999260492736,946CBA3B67E9F1032EAEE8E63ECFE4622EFC1293
00026,790954972,0,-7519088804170791739,1FE1EC54A3C40DA1C0D45DA9F1BCB20EF437ECC0
00026,790954973,0, 4589551043881046047,35A5A2FB02D52357A0C29E6EF6AFDA1ADD7195D5
00026,790954974,0, 1792084408941752747,DA0AE4E8EDE1A003BAB48E28798850802D8CD97A
00026,790954975,0,-0360350636245391702,24232D70B6B57A8D2DDF530BC0C920C1FB67E549
00026,790954976,0,-5481253666266706128,FCE75160755690308B87F8C871AB1D744C8EC31F
00026,790954977,0, 3089538813287668355,3EFC1A4F475C5CFCBC92900C5BD95A2FD0398392
00026,790954978,0, 1733178919329100574,07F64826725B5C4BE73246048430DC2CCBD6D9D0
00026,790954979,0, 0778038065541062454,C7AB05BE49248D28D571FCE82D4CD9A78F88290C
00026,790954980,0,-8142072116021269957,CC2D396CAA5B0AAF73F316B077429CC6A9469977
00026,790954981,0, 8437037871677236356,9137F9CCA9E1D99D228A9CEC942F94935403343C
00026,790954982,0,-1460913801662856625,EA5BB6588C88C79F1A1BEFF64D77D66007AC06AF
00026,790954983,0, 3784383910736099285,D84E0E19CBA2760E5EC26001A40B94A093AAC2CF
00026,790954984,0,-5627523694544400911,F06242B8D74B7CC369F176C9F28B61F819D15FEF
00026,790954985,0, 3732707981132278086,902A423888B6197BC30AA48B86F48829E98248E3
00026,790954986,0,-3894128129364753391,49E6999AD0F8AC53EDA40466F396F3277E3A0BE5
00026,790954987,0,-1280953351035267526,97857225C9D90AD08605ABD3D3C9ED5545884193
00026,790954988,0, 4267589482798731140,D5B1BB11B1C75AD2C4B219660D50D425249AF79B
00026,790954989,0,-7710078119786034830,CCC347CE63DF907B2AC4EC291B78AA46BE6DE0DC
00026,790954990,0,-1651077052903820744,CCD2A6F4205853EE1E195F42302D316DF0068AAD
00026,790954991,0, 7395741543713018555,F8B26BAEA0001A2F080365C37EBAFF10A8FD1C9E
00026,790954992,0, 7982158231478720667,504C331BBBAB7D30BCF1B92E74B8953BAA3D5842
00026,790954993,0, 1163611415734136846,B6E89AF3D15037D6EFC9EDF77162341080143CF1
00026,790954994,0,-5535819131636945034,F581D87857120BEF601973AD864AA8BCB69BB7F6
00026,790954995,0, 1027059071395456840,29211B1D301F6A6E1B2D70A9BD79322A34759098
00026,790954996,0,-8777552225253955701,7F4E84A4AB75D0347C61D9B2974C18017D1FFEB3
00026,790954997,0,-6465122744747236948,765D9FDB389B1B63831229192E48CA231523055E
00026,790954998,0, 1776325257147613565,591686FFE3903F9A056CC4DC281902D8CB120B5D
00026,790954999,0, 5639124751409093748,01D4DD58EAA8695F98BE32FFCFDD4C4BC4F9782C
00026,790955000,0,-1046245318534175508,1E2C5D0A070C5C98A0ACD849438E09FDCE61AC2D
00026,790955001,0, 0070403859095958448,7CC7FB2C885ECB2DD513FD84CF8ED449139ED037
00026,790955002,0, 8451740131188268630,7602F7D312268DC625053B70914454306CFA412A
00026,790955003,0, 4350622447033881506,9D85B63F6D7C492B2156E1FEC1010D9918138F38
00026,790955004,0,-6912650140139900073,7121461D892CD4B54D27EE442D0B17E84981BADC
00026,790955005,0, 1619563723160833411,01E2267D28644DAF6D4182201DCB8EC25F7DCB5C
00026,790955006,0, 0810500673600464647,2A9C2CC33D2D39A1A6D558685ED11C26A9CFA4C2
00026,790955007,0, 9095100733955998916,6EF45E13BD63BE4915887675FD21B34CE7DBAB7D
00026,790955008,0,-2022081357225852346,74FAA17D1020503B41ADE6AEF5BBBB999EB8F5A2
00026,790955009,0,-3291526241144274144,E75604A31EB48A3146FB20CDF5A73C10A745E980
00026,790955010,0, 6048458028723464409,E061501BAE5260892A49DF22E41FAA934DF4F398
00026,790955011,0,-6417715603813652803,4DE38BF437A511A8D46E238A55E0701494271535
00026,790955012,0, 1500721422979841740,686BF989253B2318FC629561E152C9AB3FF45EBA
