9961,0, 1530205687632726261,F943581035CFBC74AA9B5D6E3D85885D43EAAC89
00026,790979962,0,-3611041634616518821,D70C05C65F87AA7F8F33808A9415AA366A4FC0BC
00026,790979963,0,-8200834765490219929,51FF990C36A445EAED8432C92EC1856C4E8B653A
00026,790979964,0,-6333061979438399575,D4A388969A148F38528A007C19AA27B3281EA10F
00026,790979965,0, 3809065508230638685,8FFCFA3B56373A3773658580F5E0EAB2ECF53369
00026,790979966,0,-0856661776023499379,8F1DE1B3D38C1DCE3BFFF49256EC7A6ACB7F5B9A
00026,790979967,0, 5184432694865423958,06F5C709D1C5F850F322ECF2AD6794F02C9ACE07
00026,790979968,0, 6281585786861276028,1AB97B09D6F6FDEC1A978BB8B055447DA3CFEF0C
00026,790979969,0, 1559560515216178226,C4B0FB7C297EA54E5F41FC94BB7D738B23AC977B
00026,790979970,0,-6870178498285595195,59063090612519112AA5246D93DA7EFCC2B7A8E4
00026,790979971,0,-6514623642418113629,C57C812A25F866A964E70C9DB37696E9E72233FA
00026,790979972,0, 1485095351194959974,486E76ECDAC75AB3326F6994F1BB8A42D6D3BBA5
00026,790979973,0,-5383338876064127087,12DEA6AFC4962CF3F4018C084A9E5CE443A2E5B1
00026,790979974,0, 7552293718192645710,5242685D5F25BEF2EE54A91D49AB72C9D9F106BE
00026,790979975,0, 8223287486963601121,2B2FC994172D1EFC441E661F9AB62D9629635C2A
00026,790979976,0, 0178901764030888167,5C91F08503E915B6EFFC1215026FEADBA8F30DB8
00026,790979977,0, 0842853264749756279,F7ED6ABDB2F5DC9A28BD4EE0A01410ED7829FDBF
00026,790979978,0, 8218472196049700347,44FF7941CA43909B3989261E1AFDA65D4388324F
00026,790979979,0,-3520998086080320053,85FBC36E2EFD9A382E680D10F81C86BD0246333F
00026,790979980,0,-6821746471061822901,4158D08903E5AB7F3D13DF0A501793D9A26312B3
00026,790979981,0,-7526954896588172706,957F2F0FE1A0DFEE385C2E55B12D206A772541C9
00026,790979982,0,-6154637087644661221,A7E2197BED0146C7830A282545008FED14D184D3
