-807808257,1004,1
-807808256,-807807745,1009,1
-807807744,-807807489,1087,1
-807807488,-807806977,1009,1
-807806976,-807806721,1004,1
-807806720,-807805441,1009,1
-807805440,-807805185,1031,1
-807805184,-807804929,1009,1
-807804928,-807804673,1004,1
-807804672,-807803393,1009,1
-807803392,-807803137,1012,1
-807803136,-807802881,1002,1
-807802880,-807802369,1009,1
-807802368,-807802113,1181,1
-807802112,-807801089,1009,1
-807801088,-807800833,1027,1
-807800832,-807800577,1010,1
-807800576,-807800321,1023,1
-807800320,-807799297,1009,1
-807799296,-807799041,1004,1
-807799040,-807798785,1031,1
-807798784,-807798017,1009,1
-807798016,-807797761,1002,1
-807797760,-807797249,1009,1
-807797248,-807796993,1027,1
-807796992,-807796737,1009,1
-807796736,-807792897,1045,1
-807792896,-807792641,1113,1
-807792640,-807792129,1045,1
-807792128,-807791873,1229,1
-807791872,-807791489,1015,1
-807791360,-807791105,1045,1
-807791104,-807790849,1009,1
-807790848,-807790593,1045,1
-807790592,-807790337,1229,1
-807790336,-807790081,1045,1
-807790080,-807789825,1082,1
-807789824,-807789569,1142,1
-807789568,-807788545,1045,1
-807788544,-807788289,1004,1
-807788288,-807788033,1009,1
-807788032,-807786753,1045,1
-807786752,-807786497,1009,1
-807786496,-807785719,1045,1
-807785717,-807784961,1045,1
-807784704,-807784449,1009,1
-807784448,-807783425,1045,1
-807783424,-807783169,1009,1
-807783168,-807782657,1004,1
-807782656,-807782401,1009,1
-807782400,-807781889,1045,1
-807781888,-807781377,1009,1
-807781376,-807781121,1234,1
-807781120,-807780609,1045,1
-807780608,-807780353,1009,1
-807780352,-807779841,1002,1
-807779840,-807778806,1045,1
-807778804,-807777800,1045,1
-807777798,-807777025,1045,1
-807776768,-807776001,1045,1
-807776000,-807775745,1050,1
-807775744,-807775233,1045,1
-807775232,-807774721,1050,1
-807774720,-807772929,1045,1
-807772672,-807771649,1045,1
-807771392,-807771137,1045,1
-807771136,-807770881,1009,1
-807770880,-807770113,1002,1
-807770112,-807769857,1009,1
-807769856,-807769601,1045,1
-807769600,-807769089,1009,1
-807769088,-807768385,1045,1
-807768320,-807768065,1045,1
-807768064,-807767809,1002,1
-807767808,-807764481,1045,1
-807764480,-807764225,1002,1
-807764224,-807763969,1045,1
-807763968,-807763457,1009,1
-807763456,-807762687,1045,1
-807762685,-807761409,1045,1
-807761408,-807761153,1004,1
-807760896,-807759873,1045,1
-807759616,-807752921,1045,1
-807752919,-807752449,1045,1
-807752448,-807752193,1004,1
-807751936,-807750913,1045,1
-807750400,-807748609,1045,1
-807748608,-807748353,1217,1
